name,classification,frequency_female,frequency_male,frequency_total,ratio,names
ALINE,F,528515,2035,530550,0.9961643577419659,|AALINE|AILINE|ALEINE|ALIINE|ALINE|ALINER|ALINHE|ALINNE|ALYNE|ALYNNE|AYLINE|EALINE|ELEINE|ELINE|ELINER|ELINNE|ELYNE|EULINE|HALINE|HALYNE|HELEINE|HELINE|HELYNE|IALINE|ILEINE|ILINE|LEINE|LEINER|LEYNE|LINE|LINER|LUEINE|LUINE|LUYNE|LYNE|LYNNE|OLINE|UELINE|
ARAO,M,0,3526,3526,1.0,|AARAO|ARAAO|ARAO|
ARON,M,0,3442,3442,1.0,|AARON|AHARON|AROM|ARON|ARYON|HARON|
ADA,F,5294,289,5583,0.9482357155651083,|ABA|ADA|ADAH|ADAR|ADHA|HADA|
ABADE,M,0,57,57,1.0,|ABADE|
ABADI,M,0,116,116,1.0,|ABADI|ABADIR|
ABADIA,F,7438,127,7565,0.983212161269002,|ABADIA|
ABADIAS,M,45,156,201,0.7761194029850746,|ABADIAS|
ABADIO,M,0,1550,1550,1.0,|ABADIO|
ADETE,F,194,39,233,0.8326180257510729,|ABAETE|ABETE|ADETE|
ABD,M,0,23,23,1.0,|ABD|
ABDA,F,485,0,485,1.0,|ABDA|ADDA|
ABDIEL,M,0,1564,1564,1.0,|ABDAEL|ABDAL|ABDEEL|ABDEL|ABDIEL|ABDUL|ADBEEL|ADBEL|ADBIEL|
ABDALA,M,0,346,346,1.0,|ABDALA|
ABDALLA,M,0,149,149,1.0,|ABDALLA|ABDALLAH|
ABDAO,M,0,67,67,1.0,|ABDAO|
ABDER,M,0,45,45,1.0,|ABDE|ABDER|ADBE|
ABDENAGO,M,0,70,70,1.0,|ABDENAGO|
ABDENEGO,M,0,189,189,1.0,|ABDENEGO|
ABDENICO,M,0,22,22,1.0,|ABDENICO|
ABDENIGO,M,0,28,28,1.0,|ABDENIGO|
ABDENIO,M,0,50,50,1.0,|ABDENIO|
ABDENOR,M,0,43,43,1.0,|ABDENOR|
ABDERMAN,M,0,71,71,1.0,|ABDERMAN|
ABDI,M,28,83,111,0.7477477477477478,|ABDI|ABDIR|ADBI|ADDY|
ABDIA,M,0,100,100,1.0,|ABDIA|
ABDIAS,M,28,5153,5181,0.9945956379077399,|ABDIAS|
ABDISIO,M,0,24,24,1.0,|ABDISIO|
ABDNEGO,M,0,54,54,1.0,|ABDNEGO|
ABDO,M,0,514,514,1.0,|ABDO|
ABDON,M,0,1716,1716,1.0,|ABDOM|ABDON|
ABDORAL,M,0,531,531,1.0,|ABDORAL|
ABDU,M,0,90,90,1.0,|ABDU|
ADER,M,85,661,746,0.886058981233244,|ABE|ABER|ADE|ADER|HADER|
ADECIO,M,0,1236,1236,1.0,|ABECIO|ADECIO|
ABEDENEGO,M,0,81,81,1.0,|ABEDENEGO|
ABEDIAS,M,0,749,749,1.0,|ABEDIAS|ADEDIAS|
ADEBAL,M,0,269,269,1.0,|ABEDIEL|ADEBAL|
ABEDNEGO,M,0,51,51,1.0,|ABEDNEGO|
ABEDON,M,0,37,37,1.0,|ABEDON|
ABEGAIL,F,239,27,266,0.8984962406015038,|ABEGAIL|ADEGIL|
ADEJAIR,M,142,696,838,0.8305489260143198,|ABEGAIR|ADEGAIR|ADEJAIR|
ABELARD,M,0,56,56,1.0,|ABEILARD|ABELARD|
ADEILDO,M,43,13262,13305,0.9967681322810973,|ABEILDO|ADAILDO|ADALDO|ADEALDO|ADEILDO|ADELDO|ADILDO|ADOALDO|ADUALDO|
ADAILTON,M,232,72086,72318,0.9967919466799414,|ABEILTON|ADAELTON|ADAILTOM|ADAILTON|ADALTOM|ADALTON|ADAYLTON|ADEILTOM|ADEILTON|ADELTOM|ADELTON|ADIELTON|ADILTOM|ADILTON|ADOILTON|HADAILTON|
ABEL,M,1568,40614,42182,0.9628277464321274,|ABEL|ABIAIL|ABIEL|ABIL|ADAEL|ADAHIL|ADAHYL|ADAIL|ADAL|ADAYL|ADEIL|ADEL|ADIEL|ADIL|ADOEL|ADUIL|ADYEL|ADYL|
ADELAR,M,9443,11018,20461,0.5384878549435511,|ABELA|ABELAR|ABILA|ABILHA|ABLA|ADAILA|ADALA|ADALHA|ADEILA|ADELA|ADELAR|ADELHA|ADILA|ADILAR|ADILHA|ADLA|ADLAR|ADOLAR|ADYLA|HADILA|HADLA|
ADELIA,F,42651,306,42957,0.9928765975277604,|ABELAIR|ABELIA|ABILIA|ADALHIA|ADALIA|ADELAI|ADELAIR|ADELHIA|ADELIA|ADILAI|ADILAIR|ADILIA|ADLAI|ADLAIR|ADLIA|
ABELARDA,F,24,0,24,1.0,|ABELARDA|
ABELARDO,M,0,5898,5898,1.0,|ABELARDO|ADALARDO|ADELARDO|
ADELIR,F,4100,3937,8037,0.510140599726266,|ABELI|ABILI|ADAELI|ADALI|ADALIR|ADALY|ADELEI|ADELI|ADELIR|ADELY|ADIELI|ADIELY|ADILEI|ADILEY|ADILI|ADLEI|ADLEY|ADLI|ADLY|ADOLI|ADOLIR|HADLEY|
ADELICE,F,4981,88,5069,0.9826395738804498,|ABELICE|ADALICE|ADELICE|
ADELICIA,F,1643,0,1643,1.0,|ABELICIA|ADALICIA|ADELICIA|
ADELINA,F,30235,108,30343,0.9964406947236595,|ABELINA|ADALINA|ADELINA|ADILINA|ADLINA|ADOLINA|
ADELINE,F,1684,65,1749,0.9628359062321327,|ABELINE|ADALINE|ADELINE|ADILINE|ADLINE|
ADELINO,M,87,26499,26586,0.9967276009930038,|ABELINO|ABILINO|ADALINO|ADELINO|ADILINO|ADLINO|ADOLINO|
ABILIO,M,82,25583,25665,0.9968049873368401,|ABELIO|ABILHIO|ABILIO|ABLIO|ADAELIO|ADAILIO|ADALIO|ADELIO|ADILHIO|ADILIO|ADLIO|ADUILIO|
ADELIRIO,M,0,469,469,1.0,|ABELIRIO|ADALIRIO|ADELIRIO|
ADELITA,F,4342,0,4342,1.0,|ABELITA|ADALITA|ADELITA|
ADELMA,F,11661,1579,13240,0.8807401812688822,|ABELMAR|ABILMAR|ADAELMA|ADAILMA|ADALMA|ADALMAR|ADEILMA|ADELMA|ADELMAR|ADIELMA|ADILMA|ADILMAR|
ADILHO,M,0,2849,2849,1.0,|ABELO|ABELOR|ABILHO|ABILO|ABLO|ADAILO|ADALHO|ADALO|ADELHO|ADELO|ADELOR|ADILHO|ADILO|ADILOR|ADUILO|
ADILSON,M,684,226278,226962,0.9969862796415259,|ABEILSON|ABELSON|ADAELSOM|ADAELSON|ADAILSOM|ADAILSON|ADAILZON|ADALSON|ADEILSOM|ADEILSON|ADELSOM|ADELSON|ADELZON|ADEYLSON|ADIELSOM|ADIELSON|ADIILSON|ADILSOM|ADILSON|ADLSOM|ADLSON|ADOILSOM|ADOILSON|ADOLSON|ADUILSON|ADYLSON|HADILSON|
ADEMIL,M,0,676,676,1.0,|ABEMAEL|ADEMAEL|ADEMIL|
ADEMOR,M,0,206,206,1.0,|ABEMOR|ADEMO|ADEMOR|
ABENAIAS,M,0,75,75,1.0,|ABENAIAS|
ADENAIDE,F,282,0,282,1.0,|ABENAIDE|ADENAIDE|
ADENAIR,F,713,122,835,0.8538922155688623,|ABENAIR|ADENAI|ADENAIR|ADENIA|
ADENILDO,M,24,6338,6362,0.9962276013832129,|ABENALDO|ABENILDO|ADENAILDO|ADENALDO|ADENILDO|ADENOALDO|
ABENER,M,91,348,439,0.7927107061503417,|ABENE|ABENER|ADAENE|ADENE|ADENER|
ADENIR,M,4932,8838,13770,0.6418300653594772,|ABENEIR|ABENI|ABENIR|ADENEI|ADENEIR|ADENI|ADENIR|ADENY|ADENYR|
ADENIL,M,337,1395,1732,0.8054272517321016,|ABENEL|ABENIL|ADENAEL|ADENAIL|ADENAL|ADENIEL|ADENIL|ADENOEL|
ADENEVALDO,M,0,74,74,1.0,|ABENEVALDO|ADENEVALDO|
ADENIAS,M,0,349,349,1.0,|ABENIAS|ADENIAS|
ADENICIO,M,0,460,460,1.0,|ABENICIO|ADENICIO|
ADENILDE,F,2287,59,2346,0.974850809889173,|ABENAILDE|ABENILDE|ADENAILDE|ADENILDE|
ADENILDES,F,1130,45,1175,0.9617021276595744,|ABENILDES|ADENAILDES|ADENILDES|
ADENILSON,M,129,36093,36222,0.9964386284578433,|ABENILSON|ADENAILSON|ADENEILSON|ADENELSON|ADENIELSON|ADENILSOM|ADENILSON|ADENLSON|
ADENILTON,M,35,9736,9771,0.9964179715484597,|ABENAILTON|ABENILTON|ADENAILTON|ADENILTOM|ADENILTON|ADENLTON|
ADENILZA,F,4510,0,4510,1.0,|ABENILZA|ADENILSA|ADENILZA|
ADENITA,F,435,0,435,1.0,|ABENITA|ADENITA|
ADENIZA,F,443,0,443,1.0,|ABENIZA|ADENISA|ADENIZA|
